City,Year,Municipal_Spending,Municipal_Budget,Spending_to_Budget_Ratio
Visakhapatnam,Unnamed: 3,8203308330.0,9735537243.0,0.8426148578393353
Visakhapatnam,Unnamed: 4,8666150601.0,10310341612.0,0.8405299190973111
Visakhapatnam,Unnamed: 5,11387150596.0,11529106306.0,0.9876871887349913
