City,Year,Municipal_Spending,Municipal_Budget,Spending_to_Budget_Ratio
Mumbai,Unnamed: 3,242935938479.0,391051350298.0,0.6212379481463779
Mumbai,Unnamed: 4,341880515214.0,660236827737.0,0.5178149731298923
Mumbai,Unnamed: 5,339400711969.0,489819228724.0,0.69291014330563
