City,Year,Municipal_Spending,Municipal_Budget,Spending_to_Budget_Ratio
Lucknow,Unnamed: 3,12994907464.0,14549100186.0,0.8931760244873744
Lucknow,Unnamed: 4,14565079277.0,15303687238.0,0.951736601152826
Lucknow,Unnamed: 5,17924917323.0,19689032842.0,0.9104011084162119
